emoji,english,clarity
🇳🇱,Netherlands,eneda
🇳🇴,Norway,onaro
🇳🇵,Nepal,enabe
🇳🇷,Nauru,anuru
🇳🇺,Niue,unune
🇳🇿,New Zealand,enewa
🇴🇲,Oman,omanoma
🇵🇦,Panama,abanama
🇵🇪,Peru,ebure
🇵🇫,French Polynesia,evoro
🇵🇬,Papua New Guinea,abuba
🇵🇭,Philippines,ubuhu
🇵🇰,Pakistan,abuga
🇵🇱,Poland,obalo
🇵🇲,St. Pierre & Miquelon,uzede
🇵🇳,Pitcairn Islands,ubadu
🇵🇷,Puerto Rico,ubero
🇵🇸,Palestinian Territories,abelu
🇵🇹,Portugal,obura
🇵🇼,Palau,abalu
🇵🇾,Paraguay,abaruga
🇶🇦,Qatar,agadara
🇷🇪,Réunion,uruno
🇷🇴,Romania,oramu
🇷🇸,Serbia,ezura
🇷🇺,Russia,uruza
🇷🇼,Rwanda,arawa
🇸🇦,Saudi Arabia,azudura
🇸🇧,Solomon Islands,ozolomu
🇸🇨,Seychelles,ezogehe
🇸🇩,Sudan,uzadu
🇸🇪,Sweden,ezewe
🇸🇬,Singapore,uzano
🇸🇭,St. Helena,ezeda
🇸🇮,Slovenia,ozelu
🇸🇯,Svalbard & Jan Mayen,azava
🇸🇰,Slovakia,ozalu
🇸🇱,Sierra Leone,uzera
🇸🇲,San Marino,azanu
🇸🇳,Senegal,ezena
🇸🇴,Somalia,ozamu
🇸🇷,Suriname,uzura
🇸🇸,South Sudan,ozudu
🇸🇹,São Tomé & Príncipe,ozodu
🇸🇻,El Salvador,elaza
🇸🇽,Sint Maarten,uzana
🇸🇾,Syria,ozura
🇸🇿,Eswatini,ezawu
🇹🇦,Tristan da Cunha,udara
🇹🇨,Turks & Caicos Islands,udaru
🇹🇩,Chad,agahada
🇹🇫,French Southern Territories,evoru
🇹🇬,Togo,odogodo
🇹🇭,Thailand,aduha
🇹🇯,Tajikistan,aduju
🇹🇰,Tokelau,odega
🇹🇱,Timor-Leste,udome
🇹🇲,Turkmenistan,uderuga
🇹🇳,Tunisia,udunu
🇹🇴,Tonga,odano
🇹🇷,turkiye,uduro
🇹🇹,Trinidad & Tobago,udura
🇹🇻,Tuvalu,udavu
🇹🇼,Taiwan,aduwa
🇹🇿,Tanzania,adanu
🇺🇦,Ukraine,ugarune
🇺🇬,Uganda,ugana
🇺🇲,U.S. Outlying Islands,uzodu
🇺🇳,United Nations,unudeda
🇺🇸,United States,unudedaze
🇺🇾,Uruguay,urugura
🇺🇿,Uzbekistan,uzebuga
🇻🇦,Vatican City,avuda
🇻🇨,St. Vincent & Grenadines,uzedeva
🇻🇪,Venezuela,eve
🇻🇬,British Virgin Islands,uburuduzu
🇻🇮,U.S. Virgin Islands,uzuvuru
🇻🇳,Vietnam,uveda
🇻🇺,Vanuatu,avuna
🇼🇫,Wallis & Futuna,awulu
🇼🇸,Samoa,azoma
🇽🇰,Kosovo,ogozo
🇾🇪,Yemen,omenemo
🇾🇹,Mayotte,amodo
🇿🇦,South Africa,ozuda
🇿🇲,Zambia,azuma
🇿🇼,Zimbabwe,uzame
